tabular_train_loss,sequence_train_loss,tabular_validation_loss,sequence_validation_loss
0.5880719423294067,0.6847144067287445,0.45265018939971924,0.47109222412109375
0.43535323441028595,0.4243829548358917,0.3534463942050934,0.3704792559146881
0.36484238505363464,0.34763768315315247,0.2915835380554199,0.3163994252681732
0.3138341158628464,0.28664661943912506,0.2507365942001343,0.29041197896003723
0.2469783052802086,0.3051983118057251,0.22035007178783417,0.27992966771125793
0.2356295883655548,0.2856165021657944,0.19605451822280884,0.2761918008327484
0.20716439932584763,0.28019171953201294,0.17401543259620667,0.27919790148735046
0.19812575727701187,0.2506082132458687,0.15370866656303406,0.29075971245765686
0.16524513065814972,0.26406286656856537,0.13485530018806458,0.2951318919658661
0.15920276939868927,0.23016832768917084,0.11860020458698273,0.2829987108707428
0.15370551124215126,0.1822279766201973,0.1048472449183464,0.27871644496917725
0.12041275575757027,0.17125314474105835,0.0930643230676651,0.2817094922065735
0.1003863587975502,0.1500013992190361,0.08309204876422882,0.28911861777305603
0.09774129092693329,0.1429942063987255,0.07465460896492004,0.2924026548862457
0.08259324356913567,0.1137801967561245,0.06741921603679657,0.28756240010261536
0.08560661599040031,0.11803613044321537,0.061171986162662506,0.2848604619503021
0.08581085875630379,0.11571666598320007,0.05588460713624954,0.26695775985717773
0.06927084363996983,0.1044918755069375,0.051445551216602325,0.27071020007133484
